Symbol;Side;Open Time;Close Time;PnL (USDT);Balance
STABLEUSDT;LONG;2026-06-26 23:05:27;2026-06-26 23:05:27;-0.0127;8999.9873
STABLEUSDT;SHORT;2026-06-26 23:05:41;2026-06-26 23:06:25;-0.0287;8999.9586
STABLEUSDT;LONG;2026-06-26 23:06:27;2026-06-26 23:06:27;-0.0022;8999.9563
STABLEUSDT;SHORT;2026-06-26 23:10:47;2026-06-26 23:10:47;-0.0405;8999.9158
STABLEUSDT;LONG;2026-06-26 23:10:50;2026-06-26 23:10:50;0.0047;8999.9205
SOLUSDT;SHORT;2026-06-26 23:33:45;2026-06-26 23:33:45;1.5209;9001.4414
DASHUSDT;SHORT;2026-06-26 23:36:30;2026-06-26 23:36:30;1.5177;9002.9591
STABLEUSDT;SHORT;2026-06-26 23:38:50;2026-06-26 23:38:50;0.7645;9003.7237
XAGUSDT;LONG;2026-06-26 23:56:35;2026-06-26 23:56:35;1.2783;9005.0020
SOLUSDT;SHORT;2026-06-27 00:03:30;2026-06-27 00:03:30;1.4981;9006.5001
DASHUSDT;SHORT;2026-06-27 01:04:13;2026-06-27 01:04:13;1.5347;9008.0348
SOLUSDT;SHORT;2026-06-27 01:04:13;2026-06-27 01:04:13;1.5068;9009.5416
DASHUSDT;SHORT;2026-06-27 01:31:32;2026-06-27 01:31:32;1.5370;9011.0786
DASHUSDT;SHORT;2026-06-27 04:26:05;2026-06-27 04:26:05;1.5470;9012.6256
DASHUSDT;SHORT;2026-06-27 07:59:07;2026-06-27 07:59:07;1.4786;9014.1041
STABLEUSDT;SHORT;2026-06-27 08:00:43;2026-06-27 08:01:02;1.4949;9015.5990
STABLEUSDT;LONG;2026-06-27 09:00:55;2026-06-27 09:00:55;0.6365;9016.2355
STABLEUSDT;LONG;2026-06-27 09:29:50;2026-06-27 09:30:11;0.6323;9016.8677
STABLEUSDT;LONG;2026-06-27 09:48:04;2026-06-27 09:48:04;0.6254;9017.4931
DASHUSDT;SHORT;2026-06-27 12:01:51;2026-06-27 12:01:51;1.4882;9018.9814
BNBUSDT;SHORT;2026-06-27 14:05:47;2026-06-27 14:05:47;1.5181;9020.4994
STABLEUSDT;LONG;2026-06-27 14:13:51;2026-06-27 14:13:51;0.6117;9021.1111
STABLEUSDT;LONG;2026-06-27 14:51:51;2026-06-27 14:51:51;0.3923;9021.5034
STABLEUSDT;LONG;2026-06-27 14:58:41;2026-06-27 14:58:41;0.2241;9021.7274
STABLEUSDT;LONG;2026-06-27 15:13:50;2026-06-27 15:13:50;0.6202;9022.3476
STABLEUSDT;LONG;2026-06-27 15:16:44;2026-06-27 15:16:44;0.6193;9022.9669
STABLEUSDT;LONG;2026-06-27 15:42:50;2026-06-27 15:42:50;0.6095;9023.5764
STABLEUSDT;LONG;2026-06-27 15:47:22;2026-06-27 15:47:22;0.6303;9024.2067
STABLEUSDT;LONG;2026-06-27 15:52:30;2026-06-27 15:52:31;0.6404;9024.8471
STABLEUSDT;LONG;2026-06-27 16:09:53;2026-06-27 16:09:53;0.6384;9025.4856
SOLUSDT;LONG;2026-06-27 18:10:56;2026-06-27 18:10:56;1.2357;9026.7212
STABLEUSDT;SHORT;2026-06-27 19:01:12;2026-06-27 19:01:12;3.2376;9029.9588
STABLEUSDT;SHORT;2026-06-27 20:49:09;2026-06-27 20:49:09;0.7691;9030.7279
STABLEUSDT;LONG;2026-06-27 21:16:30;2026-06-27 21:16:30;1.8472;9032.5751
BNBUSDT;SHORT;2026-06-27 22:25:01;2026-06-27 22:25:01;1.5089;9034.0840
SOLUSDT;SHORT;2026-06-27 22:25:02;2026-06-27 22:25:02;1.5107;9035.5947
DASHUSDT;SHORT;2026-06-27 22:25:09;2026-06-27 22:25:09;1.4946;9037.0894
STABLEUSDT;LONG;2026-06-27 23:15:36;2026-06-27 23:15:36;0.6278;9037.7172
DASHUSDT;SHORT;2026-06-28 00:39:59;2026-06-28 00:39:59;1.5042;9039.2215
DASHUSDT;SHORT;2026-06-28 00:51:50;2026-06-28 00:51:54;1.5135;9040.7349
BNBUSDT;SHORT;2026-06-28 00:52:24;2026-06-28 00:52:24;1.4997;9042.2346
SOLUSDT;SHORT;2026-06-28 01:02:45;2026-06-28 01:02:45;1.5232;9043.7578
BNBUSDT;LONG;2026-06-28 01:05:27;2026-06-28 01:05:27;-4.7196;9039.0382
XAGUSDT;SHORT;2026-06-28 01:05:31;2026-06-28 01:05:31;-1.1072;9037.9310
XAGUSDT;LONG;2026-06-28 01:05:33;2026-06-28 01:05:33;-0.9677;9036.9633
SOLUSDT;SHORT;2026-06-28 01:16:34;2026-06-28 01:16:34;1.8554;9038.8187
DASHUSDT;SHORT;2026-06-28 01:16:40;2026-06-28 01:16:40;2.2855;9041.1042
JUPUSDT;LONG;2026-06-28 01:37:02;2026-06-28 01:37:02;1.4873;9042.5916
JUPUSDT;SHORT;2026-06-28 02:28:49;2026-06-28 02:28:49;1.4878;9044.0794
STABLEUSDT;SHORT;2026-06-28 03:25:13;2026-06-28 03:25:13;0.7392;9044.8186
STABLEUSDT;SHORT;2026-06-28 03:53:36;2026-06-28 03:53:36;1.2179;9046.0365
STABLEUSDT;SHORT;2026-06-28 04:14:08;2026-06-28 04:14:08;1.2742;9047.3107
DASHUSDT;SHORT;2026-06-28 06:24:34;2026-06-28 06:24:34;2.2879;9049.5986
JUPUSDT;SHORT;2026-06-28 06:31:50;2026-06-28 06:31:50;1.4957;9051.0943
JUPUSDT;SHORT;2026-06-28 07:11:37;2026-06-28 07:11:37;1.5048;9052.5991
JUPUSDT;SHORT;2026-06-28 08:03:47;2026-06-28 08:03:47;1.5125;9054.1116
DASHUSDT;SHORT;2026-06-28 08:24:18;2026-06-28 08:24:18;2.3028;9056.4144
SOLUSDT;SHORT;2026-06-28 08:28:20;2026-06-28 08:28:20;1.8589;9058.2733
STABLEUSDT;SHORT;2026-06-28 08:53:41;2026-06-28 08:53:41;1.2361;9059.5094
DASHUSDT;SHORT;2026-06-28 09:12:07;2026-06-28 09:12:07;2.3173;9061.8267
JUPUSDT;SHORT;2026-06-28 09:17:44;2026-06-28 09:17:44;1.5240;9063.3506
STABLEUSDT;LONG;2026-06-28 09:32:26;2026-06-28 09:32:28;2.8208;9066.1714
STABLEUSDT;SHORT;2026-06-28 09:47:56;2026-06-28 09:47:56;1.2251;9067.3965
STABLEUSDT;SHORT;2026-06-28 13:00:17;2026-06-28 13:00:17;1.2758;9068.6723
STABLEUSDT;LONG;2026-06-28 13:40:37;2026-06-28 13:40:37;1.2199;9069.8922
STABLEUSDT;LONG;2026-06-28 13:56:23;2026-06-28 13:56:24;1.2223;9071.1145
DASHUSDT;SHORT;2026-06-28 15:16:54;2026-06-28 15:16:54;2.2147;9073.3292
JUPUSDT;SHORT;2026-06-28 06:20:00;2026-06-28 14:38:00;1.4104;9020.5508
STABLEUSDT;SHORT;2026-06-28 10:00:18;2026-06-28 16:32:14;2.3844;9021.6358
DASHUSDT;SHORT;2026-06-28 12:20:00;2026-06-28 19:38:47;2.0726;9009.9139
SOLUSDT;SHORT;2026-06-28 05:30:00;2026-06-28 22:53:26;1.7023;8989.1008
JUPUSDT;LONG;2026-06-27 22:40:00;2026-06-29 03:11:28;3.5709;9038.963
STABLEUSDT;LONG;2026-06-28 11:00:00;2026-06-29 07:30:14;8.4402;9078.7739
DASHUSDT;LONG;2026-06-26 20:25:01;2026-06-29 07:35:50;-15.6094;9080.1115
SOLUSDT;LONG;2026-06-27 15:10:57;2026-06-29 07:35:53;-1.6071;9078.5044
